May 09 08:36:51 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181326Z  WARN kiseki::nfs::security: NFS path is PLAINTEXT — fh4s and data are observable on the network. Mitigations: VPC isolation, firewall ingress restrictions. Compliance: this configuration violates I-PN7-default and is acceptable only with documented compensating controls.
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181339Z  INFO kiseki_server::runtime: NFS transport posture mode=Plaintext layout_ttl_seconds=60
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181405Z  WARN kiseki_gateway::s3_server: S3 HTTP gateway listening (PLAINTEXT — development only) addr=0.0.0.0:9000
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181463Z  INFO kiseki_gateway::nfs_server: NFS server listening (NFSv3 + NFSv4.2) addr=0.0.0.0:2049
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181465Z  INFO kiseki_server::runtime: portmapper listening (NFS3 + MOUNT3 → NFS port) addr=0.0.0.0:111 advertised_nfs_port=2049
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181494Z  INFO kiseki_server::metrics: metrics + admin UI server listening addr=0.0.0.0:9090
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181513Z  INFO kiseki_server::runtime: pNFS DS listener spawned addr=0.0.0.0:2052
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181518Z  INFO kiseki_server::runtime: composition hydrator spawned (Phase 16f — followers consume create-deltas)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181522Z  INFO kiseki_server::runtime: backup: disabled (set KISEKI_BACKUP_BACKEND=fs|s3 to enable)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181525Z  INFO kiseki_server::runtime: control plane: in-process (ControlService on data-path gRPC)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.181553Z  INFO kiseki_gateway::pnfs_ds_server: pNFS DS listening addr=0.0.0.0:2052 tls=false
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.183392Z  INFO openraft::engine::handler::vote_handler: vote is changing from <T0-N3:-> to <T3-N1:Q>
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184505Z  INFO kiseki_server::runtime: tuning store: persistent (redb) path=/var/lib/kiseki/tuning
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184609Z  WARN kiseki_server::runtime: data-path gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9100
